# class	code	page	at	shifted	gold	claude
OTHER	ANZH301	ANZH301_2_0.html	-1	0	2A 2B	2A 2B 2C 2D
OTHER	ANZH301	ANZH301_3_0.html	-1	0	3A 3B 3C	3A 3B 3C 3D 3E 3F 3G 3H
OTHER	ANZH301	ANZH301_4_0.html	-1	0	4A 4B 4C	4A 4B 4C 4D 4E
OTHER	ANZH301	ANZH301_5_0.html	-1	0	5A 5B	5A 5B 5C 5D
OTHER	ANZH301	ANZH301_6_0.html	-1	0	6A 6B	6A 6B 6C 6D
OTHER	ANZH301	ANZH301_7_0.html	-1	0	7A	7A 7B 7C 7D
OTHER	ANZH301	ANZH301_8_0.html	-1	0	8A	8A 8B 8C
OTHER	ANZH301	ANZH301_9_0.html	-1	0	9A	9A 9B 9C 9D
EXTRA1	ANZH301	ANZH301_10_0.html	1	0	10A	10A 10B
OTHER	ANZH302	ANZH302_1_0.html	-1	0	1A	1A 1B 1C 1D 1E 1F 1G 1H
OTHER	ANZH302	ANZH302_2_0.html	-1	0	2A 2B	2A 2B 2C 2D
OTHER	ANZH302	ANZH302_3_0.html	-1	0	3A	3A 3B 3C 3D 3E 3F 3G 3H
OTHER	ANZH302	ANZH302_4_0.html	-1	0	4A 4B	4A 4B 4C 4D 4E
OTHER	ANZH302	ANZH302_5_0.html	-1	0	5A	5A 5B 5C 5D
OTHER	ANZH302	ANZH302_6_0.html	-1	0	6A 6B	6A 6B 6C 6D
OTHER	ANZH302	ANZH302_7_0.html	-1	0	7A	7A 7B 7C 7D
OTHER	ANZH302	ANZH302_8_0.html	-1	0	8A	8A 8B 8C
OTHER	ANZH302	ANZH302_9_0.html	-1	0	9A 9B	9A 9B 9C 9D
EXTRA1	ANZH302	ANZH302_10_0.html	1	0	10A	10A 10B
EXTRA1	ANZH303	ANZH303_5_0.html	1	0	5A	5A 5B
MISSING1	ANZH303	ANZH303_6_0.html	1	0	6A 6B	6A
MISSING1	ANZH304	ANZH304_1_0.html	4	0	1A 1B 1C 1D 1E	1A 1B 1C 1D
EXTRA1	ANZH304	ANZH304_2_0.html	0	0		2A
EXTRA1	ANZH304	ANZH304_3_0.html	8	0	3A 3B 3C 3D 3E 3F 3G 3H	3A 3B 3C 3D 3E 3F 3G 3H 3I
MISSING1	ANZH304	ANZH304_6_0.html	2	0	6A 6B 6C	6A 6B
EXTRA1	ANZH401	ANZH401_1_0.html	2	0	1A 1B	1A 1B 1C
MISSING1	ANZH401	ANZH401_2_0.html	0	0	2A	
EXTRA1	ANZH401	ANZH401_3_0.html	1	0	3A	3A 3B
EXTRA1	ANZH401	ANZH401_6_0.html	1	0	6A	6A 6B
EXTRA1	ANZH401	ANZH401_7_0.html	2	0	7A 7B	7A 7B 7C
MISSING1	ANZH401	ANZH401_8_0.html	0	0	8A	
EXTRA1	ANZH401	ANZH401_11_0.html	2	0	11A 11B	11A 11B 11C
OTHER	ANZH401	ANZH401_13_0.html	-1	0		13A 13B 13C
EXTRA1	ANZH404	ANZH404_5_0.html	2	0	5A 5B	5A 5B 5C
OTHER	ANZHFUN05	ANZHFUN05_0_0.html	-1	0	1A 2A 3A 4A	
OTHER	ARFUN02	ARFUN02_0_0.html	-1	0	1A 2A 2B 3A 3B 3C 3D 4A	1A 2A 2B 3A 3B 3C 3D 4A 4B 4C
OTHER	ARFUN03	ARFUN03_0_0.html	-1	0	1A 2A 2B 2C 3A 3B 3C 3D 3E 3F 4A	1A 2A 2B 3A 3B 3C 3D 3E 4A
OTHER	ARFUN04	ARFUN04_0_0.html	-1	0		5 1C 1D 1E 3 1I 2A 2D 2E 2F 2G 2H 2J 2K 3E 3F 3G 3H 3I 3L 3M 3N 4B 4D 4G 4J 4K 4L 4M 4O 1 4S
OTHER	ART1002	ART1002_1_0.html	-1	0	1A 1B 1C 1D	
OTHER	ART1002	ART1002_5_0.html	-1	0	2A 2B 2C 2C	
OTHER	ART1003	ART1003_0_0.html	-1	0		2A 2B 2C 3A 3B 1A 1B 1C 1A 1B 1A 1B 1B 1B 1C
OTHER	ART1004	ART1004_0_0.html	-1	0	4A 4B 4C 4D 4E 4F	
OTHER	ART1005	ART1005_0_0.html	-1	0	3A 3B 3C 3D 3E 3F 3G	1A 1C 2A 2B 2C 2D 3A 3B 3C 3D 1B 2A 2B 2C 1A 1 1B 2 1C 2A 2B 3A 3B
OTHER	ART1006	ART1006_1_0.html	-1	0	1A 1B 1C 1D	
OTHER	ART1006	ART1006_2_0.html	-1	0	2A 2B	
OTHER	ART1006	ART1006_3_0.html	-1	0	3A 3B 3C 3D	
OTHER	ART1006	ART1006_4_0.html	-1	0	4A 4B 4C 4D	
SHIFTED	BLL110	BLL110_0_0.html	5	0	1A 1B 1C 1D 1E 1F 1G 2A 2B 2C 2D 2E 2F 2G 2H 3A 3B 3C 3D 3E 3F 3G 3H 4A 4B 4C 4D 4E 4F 4G 4H 5A 5B 5C 5D 5E 5F 5G 5H 6A 6B 6C 6D 6E 6F 6G 6H	1A 1B 1C 1D 1E 1E 1F 2A 2B 2C 4 2D 2E 2F 2G 3A 3B 3C 3D 3E 3F 3G 3H 4A 4B 34C 4D 4E 4F 4G 4H 5A 5B 5C 5D 5E 5F 5G 5H 6A 6B 6C 6D 6E 6F 6G 6H
EXTRA1	BLL113	BLL113_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
EXTRA1	BLL115	BLL115_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
EXTRA1	BLL117	BLL117_2_0.html	5	0	2A 2B 2C 2D 2E	2A 2B 2C 2D 2E 2F
SHIFTED	BLL120	BLL120_0_0.html	6	0	1A 1B 1C 1D 1E 1F 1G 1H 2A 2B 2C 2D 2E 2F 2G 2H 3A 3B 3C 3D 3E 3F 3G 3H 4A 4B 4C 4D 4E 4F 4G 4H 5A 5B 5C 5D 5E 5F 5G 5H 5I 6A 6B 6C 6D 6E 6F 6G 6H 6I 7A 7B 7C 7D 7E 7F 7G 7H 7I 8A 8B 8C 8D 8E 8F 8G 8H	1A 1B 1C 1D 1E 1F 8 1G 2A 2B 2C 2D 2E 2F 2G 2H 3A 3B 3C 3D 3E 3E 3F 3G 4A 4B 4C 4D 4E 4F 4G 4I 5A 5B 5C 5D 5E 5F 5G 5H 5I 6A 6B 6C 6D 6E 6F 6G 6H 6I 7A 7B 7C 7D 7E 7F 7G 7H 7I 8A 8B 8C 8D 8E 8F 8G 8H
EXTRA1	BLL121	BLL121_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
EXTRA1	BLL123	BLL123_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
EXTRA1	BLL124	BLL124_2_0.html	5	0	2A 2B 2C 2D 2E	2A 2B 2C 2D 2E 2F
EXTRA1	BLL127	BLL127_2_0.html	5	0	2A 2B 2C 2D 2E	2A 2B 2C 2D 2E 2F
SHIFTED	BLL130	BLL130_0_0.html	24	0	1A 1B 1C 1D 1E 1F 1G 2A 2B 2C 2D 2E 2F 2G 2H 3A 3B 3C 3D 3E 3F 3G 3H 4A 4B 4C 4D 4E 4F 4G 4H 5A 5B 5C 5D 5E 5F 5G 5H 6A 6B 6C 6D 6E 6F 6G 6H	1A 1B 1C 1D 1E 1F 1G 2A 2B 2C 2D 2E 2F 2G 2H 3A 3B 3C 3D 3E 3F 3G 3H 4A 1D 4C 4D 4E 4F 4G 4H 5A 5B 5C 5D 5E 5F 5G 5H 5A 6B 6C 6D 6E 6F 6G 6H
MISSING1	BLL135	BLL135_1_0.html	5	0	1A 1B 1C 1D 1E 1F	1A 1B 1C 1D 1E
OTHER	BLL136	BLL136_1_0.html	-1	0	2A 2B 2C 2D 2E	1A 1B 1C 1D 1E 1F 1G 1H 1I 1J
EXTRA1	BLL137	BLL137_1_1.html	5	0	2A 2B 2C 2D 2E	2A 2B 2C 2D 2E 2F
SHIFTED	BLL140	BLL140_0_0.html	6	0	1A 1B 1C 1D 1E 1F 1G 2A 2B 3A 3B 3C 3D 3E 3F 3G 4A 4B 4C 4D 4E 4F 4G 5A 5B 5C 5D 5E 5F 5G 6A 6B 6C 6D 6E 6F 6G 7A 7B 7C 7D 7E 7F 5G	1A 1B 1C 1D 1E 1F 1H 2A 2B 3A 3B 3C 3D 3E 3F 3G 4A 4B 4C 4D 4E 4F 4G 5A 5B 5C 5D 5E 5F 5G 6A 6B 6C 6D 6E 6F 5H 7A 7B 7C 7D 7E 7F 7G
MISSING1	BLL143	BLL143_1_1.html	5	0	2A 2B 2C 2D 2E 2F	2A 2B 2C 2D 2E
MISSING1	BLL145	BLL145_1_0.html	5	0	1A 1B 1C 1D 1E 1F	1A 1B 1C 1D 1E
OTHER	BLL147	BLL147_1_1.html	-1	0	2A 2B 2C 2D 2E	2A 2G 2B 2C 2D 2E 2F
SHIFTED	BLL150	BLL150_0_0.html	22	0	1A 1B 1C 1D 1E 1F 1H 2A 2B 2C 2D 2E 2F 2G 2H 3A 3B 3C 3D 3E 3F 3G 3H 4A 4B 4C 4D 4E 4F 4G 5A 5B 5C 5D 5E 5F 5G	1A 1B 1C 1D 1E 1F 1H 2A 2B 2C 2D 2E 2F 2G 2H 3A 3B 3C 3D 3E 3F 3G 2I 4A 4B 4C 4D 4E 4F 4G 5A 5B 5C 5D 5E 5F 5G
EXTRA1	BLL152	BLL152_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
SHIFTED	BLL152	BLL152_1_1.html	4	0	2A 2B 2C 2D 1E	2A 2B 2C 2D 2E
OTHER	BLL157	BLL157_1_1.html	-1	0	2A 2B 2C 2D 2E	2A 2G 2B 2C 2D 2E 2F
MISSING1	BLL162	BLL162_1_1.html	0	0	2A 2B 2C 2D 2E	2B 2C 2D 2E
MISSING1	BLL164	BLL164_1_0.html	5	0	1A 1B 1C 1D 1E 1F	1A 1B 1C 1D 1E
MISSING1	BLL164	BLL164_1_1.html	5	0	2A 2B 2C 2D 2E 2F	2A 2B 2C 2D 2E
SHIFTED	BLL165	BLL165_1_0.html	0	0	1A 1B 1C 1D 1E	1B 1C 1D 1E 1F
EXTRA1	BLL165	BLL165_1_1.html	2	0	2A 2B 2C 2D 2E	2A 2B 2H 2C 2D 2E
SHIFTED	BLL170	BLL170_0_0.html	6	0	1A 1B 1C 1D 1E 1F 1G 2A 2B 2C 2D 2E 2F 2G 3A 3B 3C 3D 3E 3F 3G 4A 4B 4C 4D 4E 4F 4G 5A 5B 5C 5D 5E 5F 5G 6A 6B 6C 6D 6E 6F 6G	1A 1B 1C 1D 1E 1F 1H 2A 2B 2C 2D 2E 2F 4G 3A 3B 3C 3D 3E 3F 3G 4A 4B 4C 4D 4E 4F 4H 5A 5B 5C 5D 5E 5F 5G 6A 6B 6C 6D 6E 6F 6G
EXTRA1	BLL173	BLL173_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
SHIFTED	BLL210	BLL210_0_0.html	5	0	1A 1B 1C 1D 1E 1F 2A 2B 2C 2D 2E 2F 2G 3A 3B 3C 4A 4B 4C 4D 4E 5A 5B 5C 5D 5E 6A 6B 6C 6D 6E 7A 7B 7C 7D 7E 8A 8B 8C 8D 8E	1A 1B 1C 1D 1E 1H 2A 2B 2C 2D 2E 2F 2G 3A 3B 3C 4A 4B 4C 4D 4G 5A 5B 5C 5D 5E 6A 6B 6C 6D 6G 7A 7B 7C 7D 7E 8A 8B 8C 8D 8G
MISSING1	BLL215	BLL215_1_0.html	5	0	1A 1B 1C 1D 1E 1F	1A 1B 1C 1D 1E
MISSING1	BLL216	BLL216_1_0.html	5	0	1A 1B 1C 1D 1E 1F	1A 1B 1C 1D 1E
SHIFTED	BLL220	BLL220_0_0.html	5	0	1A 1B 1C 1D 1E 1F 2A 2B 2C 2D 2E 2F 3A 3B 3C 3D 3E 3F 4A 4B 4C 4D 4E 4F 5A 5B 5C 5D 5E 5F	1A 1B 1C 1D 1E 1H 2A 2B 2C 2D 2E 2G 3A 3B 3C 3D 3E 3G 4A 4B 4C 4D 4E 4G 5A 5B 5C 5D 5E 5G
EXTRA1	BLL221	BLL221_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
SHIFTED	BLL230	BLL230_0_0.html	5	0	1A 1B 1C 1D 1E 1F 2A 2B 2C 2D 2E 3A 3B 3C 3D 3E 3F 3G 4A 4B 4C 4D 4E 4F 4G 5A 5B 5C 5D 5E 5F 5G 6A 6B 6C 6D 6E 7A 7B 7C 7D 7E 7F 7G 7H	1A 1B 1C 1D 1E 1H 2A 2B 2D 2E 2G 3A 3B 3C 3D 3E 3F 3G 4A 4B 4C 4D 4E 4F 4G 5A 5B 5C 5D 5E 5F 5G 6A 6B 6C 1F 1I 7A 7B 7C 7D 7E 7F 7G 7H
EXTRA1	BLL231	BLL231_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
SHIFTED	BLL234	BLL234_1_0.html	2	0	1A 1B 1C 1D 1E	1A 1B 1E 1D 1F
MISSING1	BLL235	BLL235_1_0.html	5	0	1A 1B 1C 1D 1E 1F	1A 1B 1C 1D 1E
MISSING1	BLL242	BLL242_1_0.html	2	0	1A 1B 1C 1C 1D 1E	1A 1B 1C 1D 1E
OTHER	BLL243	BLL243_1_0.html	-1	0	1A 1B 1B 1D 1E	1A 1B 1C 1D 1E 1F
EXTRA1	BLL244	BLL244_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
EXTRA1	BLL247	BLL247_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
SHIFTED	BLL250	BLL250_0_0.html	17	0	1A 1B 1C 1D 1E 1F 1G 1H 2A 2B 2C 2D 2E 2F 2G 3A 3B 3C 3D 3E 3F 3G 4A 4B 4C 4D 4E 4F 4G 5A 5B 5C 5D 5E 5F 5G	1A 1B 1C 1D 1E 1F 1G 1H 2A 2B 2C 2D 2E 2F 2G 3A 3B 4C 3D 3E 3F 3G 4A 4B 4D 4D 4E 4F 4G 5A 5B 5C 5D 5E 5F 3H
EXTRA1	BLL253	BLL253_1_0.html	6	0	1A 1B 1C 1D 1E 1F	1A 1B 1C 1D 1E 1F 1G
EXTRA1	BLL254	BLL254_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
EXTRA1	BLL261	BLL261_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
SHIFTED	BLL261	BLL261_2_0.html	3	0	2A 2B 2C 2D 2E 2F	2A 2B 2C 2E 2F 2D
EXTRA1	BLL264	BLL264_3_0.html	4	0	2A 2B 2C 2D 2F	2A 2B 2C 2D 2E 2F
SHIFTED	BLL265	BLL265_2_0.html	2	0	2A 2B 2C 2D 2E	2A 2B 2D 2E 2F
EXTRA1	BLL273	BLL273_2_0.html	5	0	2A 2B 2C 2D 2E	2A 2B 2C 2D 2E 2F
EXTRA1	BLL274	BLL274_2_0.html	5	0	2A 2B 2C 2D 2E	2A 2B 2C 2D 2E 2F
EXTRA1	BLL275	BLL275_2_0.html	5	0	2A 2B 2C 2D 2E	2A 2B 2C 2D 2E 2F
MISSING1	BLLR203	BLLR203_5_0.html	6	0	5A 5B 5C 5D 5E 5F 5G	5A 5B 5C 5D 5E 5F
MISSING1	CBI1004	CBI1004_1_0.html	0	0	1A	
MISSING1	CBI1004	CBI1004_3_0.html	1	0	3A 3B	3A
OTHER	CBI1004	CBI1004_4_0.html	-1	0	4A 4B	
OTHER	CBI1004	CBI1004_5_0.html	-1	0	5A 5B 5C	
OTHER	CBI1004	CBI1004_6_0.html	-1	0	6A 6B 6C 6D	6A 6B
MISSING1	CBI1004	CBI1004_9_0.html	1	0	9A 9B	9A
MISSING1	CBI1004	CBI1004_10_0.html	2	0	10A 10B 10C	10A 10B
MISSING1	CBI1005	CBI1005_7_0.html	1	0	7A 7B	7A
MISSING1	CBI1005	CBI1005_9_0.html	0	0	9A	
MISSING1	CBI1005	CBI1005_10_0.html	2	0	10A 10B 10C	10A 10B
MISSING1	CBI1008	CBI1008_1_0.html	1	0	1A 1B	1A
OTHER	CBI1008	CBI1008_2_0.html	-1	0	2A 2B 2C 2D	2A 2B
EXTRA1	CBI1008	CBI1008_3_0.html	0	0	4A	3A 4A
MISSING1	CBI1008	CBI1008_5_0.html	0	0	5A	
OTHER	CBI1009	CBI1009_3_0.html	-1	0	3A 3B 3C	3A
MISSING1	CBI1009	CBI1009_4_0.html	0	0	4C	
OTHER	CEDK101	CEDK101_0_0.html	-1	0	1A 1B 2A 2B 2C 2D 3A 4A 4B 5A 5B 5C 5D	1A 1B 2A 2B 2C 3A 4A 5A 5B 5C
OTHER	CEDK102	CEDK102_0_0.html	-1	0	1A 1B 2A 2B 2C 3A 3B 3C 4A 4B 4C 4D 4E 5A 5B	1B 1B 2A 2B 2C 3A 3B 3C 4A 4B 4E 5A 5B
OTHER	CEDK401	CEDK401_0_0.html	-1	0	1A 1B 1C 2A 3A 3B 4A 6B 6C 7A 8A 8B 8C 8D	1A 1B 1C 2A 4A 6B 6C 8A
OTHER	CEDK501	CEDK501_2_0.html	-1	0	2A 2B 2C	2A
OTHER	CEDK501	CEDK501_3_1.html	-1	0	3D 3E	3B
OTHER	CEDK501	CEDK501_5_0.html	-1	0	3A 3B 3C	
OTHER	CEDK501	CEDK501_5_1.html	-1	0	5B 5C	
MISSING1	CEDK501	CEDK501_6_0.html	0	0	4A	
SHIFTED	CEDK501	CEDK501_6_1.html	0	0	6C 6D 6E 6F	6A 6B 6C 6D
MISSING1	CEDK501	CEDK501_7_0.html	0	0	5A	
MISSING1	CEDK501	CEDK501_9_0.html	0	0	7A	
OTHER	CEDO102	CEDO102_0_0.html	-1	0	1A 1B 2A 2B 3A 3B 3C 4A 4B 5A 5B 5C	1A 1A 2A 2B 3A 3B 3C 3D 4A 4B 4C 5A 5B 5C
SHIFTED	CEDO201	CEDO201_0_0.html	0	0	1A 2A 3A 3B 4A 5A	2A 3A 4A 4B 5A 6A
OTHER	CEDO202	CEDO202_0_0.html	-1	0	1A 1B 2A 3A 3B 3C 5A 5B 6A 6B 7A 7B 8A 8B 9A 9B	1A 1B 3B 5A 6A 7A 7B 8A 8B
OTHER	CEDO204	CEDO204_0_0.html	-1	0	1A 1B 1C 2A 2B 2C 2D 3A 3B 3C 3D 4A 4B 5A	2A 2B 2C 3A 3B 3C 3D 4A 4B 5A
SHIFTED	CEDO301	CEDO301_4_0.html	0	0	5A	4A
SHIFTED	CEDO301	CEDO301_5_0.html	0	0	2A	5A
OTHER	CEDO402	CEDO402_0_0.html	-1	0	1A 1B 1C 2A 2B 3A 3B 3C 3D 4A 5A 6A	1A 1B 1C 2A 2A 2B 3A 3B 3C 3D 4A 4A 5A 6A
OTHER	CEDO501	CEDO501_1_0.html	-1	0	1A 1B 1C 1D	1C 1D
OTHER	CEDO501	CEDO501_2_1.html	-1	0	2A 2B 2C 2D 2E	2A 2D
MISSING1	CEDO501	CEDO501_2_2.html	0	0	2F	
OTHER	CEDO501	CEDO501_3_0.html	-1	0	3A 3C 3D 3E 3F 3G	3A
MISSING1	CEDO501	CEDO501_3_1.html	0	0	3G	
OTHER	CEDO501	CEDO501_4_1.html	-1	0	4A 4B	
MISSING1	CEDO501	CEDO501_5_0.html	1	0	5A 5B	5A
MISSING1	CEDO501	CEDO501_7_0.html	0	0	5D	
OTHER	CEDO501	CEDO501_8_0.html	-1	0	6A 6B 6C 6D 6E	
MISSING1	CEDO501	CEDO501_9_0.html	0	0	8A	
MISSING1	CEDO501	CEDO501_10_0.html	0	0	7A	
EXTRA1	CEDO502	CEDO502_1_0.html	0	0		1A
SHIFTED	CEDO502	CEDO502_1_1.html	0	0	1B 1C 1D	1A 1C 1D
MISSING1	CEDO502	CEDO502_2_0.html	0	0	2A	
SHIFTED	CEDO502	CEDO502_3_0.html	0	0	3B 3C 3D	3A 3B 3C
EXTRA1	CEDO502	CEDO502_4_0.html	0	0	4B 4C	4A 4B 4C
MISSING1	CEDO502	CEDO502_5_0.html	2	0	5A 5B 5C 5C	5A 5B 5C
MISSING1	CEDO502	CEDO502_6_0.html	0	0	6A	
MISSING1	CEDO502	CEDO502_8_0.html	0	0	8A	
OTHER	CEDR101	CEDR101_0_0.html	-1	0	1A 1B 1C 1D 2A 2B 2C 2D 3A 3B 3C 4A 4B 4C 5A 5B 5C 6A 6B 6C 6D 7A 7B 7C	1A 1B 1B 1C 2A 2B 2C 2D 3A 3B 3C 4A 4B 4C 5A 5B 5C 6A 6B 6C 6D 7A 7B
OTHER	CEDR203	CEDR203_0_0.html	-1	0	1A 1A 2A 3A 4A 4B 4C	2A 3B 5A 5B
OTHER	CEDR401	CEDR401_0_0.html	-1	0	1A 2A 2B 2C 3A 3B 4A 4B 4C 4D 5A 5B 5C 6A 6B	1 2A 2B 2C 2 5A 6A 6B
MISSING1	CEDR501	CEDR501_2_0.html	0	0	1B	
MISSING1	CEDR501	CEDR501_2_1.html	0	0	2B	
SHIFTED	CEDR501	CEDR501_4_0.html	1	0	3A 3B 3C 3D 3E	3A 3C 3B 3D 3E
OTHER	CEDT101	CEDT101_0_0.html	-1	0	1A 1B 1C 1D 2A 2B 2C 2D 2E 3A 3B 3C 3D 3E 4A 4B 4C	1A 1B 1C 1D 2A 2B 2B 2C 2D 2E 3A 3B 3C 3D 4A 4B
EXTRA1	CEDT102	CEDT102_0_0.html	2	0	1A 1B 2A 2B 3A 3B 4A 4B	1A 1B 1C 2A 2B 3A 3B 4A 4B
OTHER	CEDT104	CEDT104_0_0.html	-1	0	1A 1B 1C 1D 1E 2A 2B 2C 2D 3A 3B 3C 3D 3E 3F 3G 4A 4B 4C 4D 5A 5B 5C 6A 6B 6C 7A 7B 7C 7D	1A 1B 1C 2B 2C 2D 3A 3B 4A 4B 5A 5B 5C 6A 6B 6C
OTHER	CEDT207	CEDT207_0_0.html	-1	0	1A 1B 1C 1D 1E 2A 2B 2C 2D 3A 4A 4B 5A 5B 5C 6A	1A 1A 1B 1 2 4 3A 1 2 3 4 4A 4B
