pairs 1955

===== Bilingual — gold has MORE of the line than Claude (DEFICIT: sum | pages | modules) =====
      32 |    12 |    6 | img.img-fluid
      31 |    16 |   12 | WIDGET
      28 |     9 |    9 | div.col-md-4.offset-md-0.col-12
      26 |    26 |   15 | body.container-fluid
      22 |    15 |   12 | div.col-md-8.col-12.super-content-button
      21 |    21 |    4 | ul.footer-nav.inquiry-nav
      21 |     9 |    6 | h4.goJournal
      20 |     5 |    3 | div.button.TKmodalButton
      15 |    14 |   14 | div.activity[number=4A]
      15 |    15 |   15 | div.activity[number=2A]
      14 |    13 |   13 | div.activity[number=1B]
      14 |    14 |    5 | a#next-lesson
      13 |    13 |   13 | div.activity[number=1A]
      12 |    12 |   12 | div.activity[number=3A]
      12 |     8 |    6 | div.super-content.row
      11 |    11 |   11 | div.activity[number=3C]

===== Standard — gold has MORE of the line than Claude (DEFICIT: sum | pages | modules) =====
    4403 |   979 |  277 | p
    3358 |   749 |  240 | div.row
    2935 |   970 |  263 | h3
    1893 |   776 |  254 | div.col-12
    1764 |   782 |  263 | WIDGET
    1735 |   641 |  224 | li
    1676 |   708 |  251 | img.img-fluid
    1626 |   597 |  207 | br
    1249 |   417 |  169 | div.col-md-8.col-12
    1209 |   539 |  196 | ul
    1065 |   602 |  208 | div.col-md-12.col-12
     977 |   519 |  192 | h4
     947 |   390 |  168 | b
     943 |   548 |  188 | a
     834 |   519 |  154 | div.button
     812 |   239 |  138 | td
     731 |   453 |  118 | iframe.embed-responsive-item
     689 |   378 |  137 | h5
     672 |   285 |  153 | div.clickDropContent
     662 |   432 |  137 | div.videoSection.icon.ratio.ratio-16x9
     571 |   206 |   73 | span
     544 |   359 |  143 | div.col-md-4.offset-md-0.col-12
     493 |   206 |  132 | tr
     473 |   341 |  125 | div.alert
     428 |   248 |   73 | h2
     415 |   256 |  125 | span.infoTrigger
     415 |   300 |  108 | div.col-md-8.col-12.paddingR
     341 |   252 |   88 | div.col-md-4.offset-md-0.col-12.paddingL
     328 |   251 |  141 | iframe
     316 |   198 |  110 | ol
     312 |   225 |  101 | div.alertImage
     303 |   164 |   86 | i
     284 |   230 |  137 | div.alertActivity
     268 |    35 |   15 | mi
     255 |    39 |   16 | mo
     252 |   186 |  122 | div.table-responsive
     250 |   250 |  228 | div.acks
     250 |    55 |   21 | math
     234 |    46 |   20 | mn
     232 |    48 |   19 | div.col-12.col-md-8
     230 |   165 |   86 | div.videoSection.ratio.ratio-16x9
     220 |   189 |   98 | div.externalButton
     208 |   139 |   81 | div.col-md-10.col-12
     200 |   133 |   40 | h4.goJournal
     198 |   113 |   56 | div.col-md-6.offset-md-0.col-12

===== Standard — Claude has MORE of the line than gold (SURPLUS: sum | pages | modules) =====
    4109 |  1096 |  286 | div.col-md-8.col-12
    3492 |   787 |  275 | div.row
    2249 |   500 |  200 | p
    1464 |   587 |  237 | b
    1153 |   433 |  184 | div.col-12
    1008 |   399 |  191 | li
     979 |   341 |  145 | tr
     945 |   339 |  154 | h4
     927 |   510 |  219 | a
     804 |   475 |  154 | iframe
     720 |   362 |  180 | i
     714 |   309 |  142 | h5
     698 |   363 |  145 | th
     694 |   476 |  255 | WIDGET
     660 |   390 |  152 | table.table.table-bordered
     624 |   329 |  177 | ul
     561 |   232 |  119 | td
     553 |   344 |  106 | div.videoSection.ratio.ratio-16x9
     529 |   318 |   82 | h4.goJournal
     504 |   269 |  132 | img.img-fluid
     493 |   307 |  132 | div.table-responsive
     484 |   221 |  113 | h3
     466 |   259 |   79 | div.activity
     452 |   248 |  103 | div.button
     429 |   204 |  107 | ol
     289 |   116 |   50 | div.col-md-6.col-12
     266 |   266 |  266 | div.acks.acksTemplate
     265 |   170 |   62 | div.alert.solid
     260 |   186 |   86 | div.alert
     197 |   150 |   83 | audio.audioPlayer.icon
     149 |   149 |   26 | body.container-fluid
     145 |   103 |   55 | div.externalButton
      98 |    67 |   43 | span.infoTrigger
      97 |    84 |   58 | div.col-md-4.col-12.paddingLR
      92 |    46 |   31 | div.clickDropContent
      91 |    56 |   40 | div.col-md-6.col-12.paddingR
      91 |    12 |    5 | mrow
      88 |    72 |   39 | div.super-content.row
      85 |    61 |   23 | div
      80 |    59 |   32 | div.videoSection.icon.ratio.ratio-16x9
      79 |    63 |   41 | div.ratio.ratio-16x9
      77 |    76 |   76 | div.activity[number=2A]
      73 |    38 |   20 | div.TKmodal
      72 |    72 |   70 | div.activity[number=1A]
      70 |    70 |   53 | div.col-md-12.col-12.paddingR
